ds,yhat,yhat_lower,yhat_upper
2023-08-20,27933.893943363822,23815.08608770971,31803.629571044385
2023-08-21,28151.580471509205,24014.080976527657,32253.461509806897
2023-08-22,27954.608379676807,23782.2035887306,32225.25733180011
2023-08-23,27956.064610964375,23934.348601137663,31997.005653949833
2023-08-24,27885.879694122505,23759.42026961411,32006.55493904709
2023-08-25,27931.317035744632,23888.26114576062,31991.672951273256
2023-08-26,27903.23068662311,23696.065988165374,31790.5918396685
2023-08-27,27932.577452786856,24055.17232018282,32087.99228900451
2023-08-28,28150.263984655252,24059.679186738605,32196.241337722255
2023-08-29,27953.291892822814,23913.899462699595,31810.267686858453
2023-08-30,27954.748124110432,23966.85249002375,31876.51307297653
2023-08-31,27884.563207268206,23516.177306501944,31908.93895724546
2023-09-01,27930.000548891087,23727.852832281456,32365.042695661356
2023-09-02,27901.91419976935,23879.495744737378,31607.238029154807
2023-09-03,27931.260965933372,23647.385171916503,32014.88577758928
2023-09-04,28148.947497801455,24078.10308118198,31965.470129069043
2023-09-05,27951.975405969497,23965.326422778013,32096.072461126063
2023-09-06,27953.431637256494,23739.681788634316,32038.42645058889
2023-09-07,27883.246720414856,23930.895776886693,32038.700369647606
2023-09-08,27928.68406203755,23502.430928462407,32221.270336751284
2023-09-09,27900.597712915172,23921.86304772857,32243.933657947782
2023-09-10,27929.94447907956,23400.240979821534,32141.227653109563
2023-09-11,28147.63101094739,24313.678405538405,32133.124179370032
2023-09-12,27999.167649310206,23912.81798656479,32159.621661929494
2023-09-13,28049.13261079195,23794.85713289064,31915.26206315551
2023-09-14,28027.456424144835,24017.529823078614,32149.428438756015
2023-09-15,28121.402495962353,24020.11953261853,32328.93622912431
2023-09-16,28141.824877034876,23978.615852360803,32432.13240252771
2023-09-17,28219.68037339393,24228.86543984676,32632.166320981218
2023-09-18,28485.875635456625,24349.540868417014,32534.41709319525
2023-09-19,28337.412273819176,24348.548540013453,32215.798109874195
2023-09-20,28387.377235301123,23992.768518659133,32348.91175957296
2023-09-21,28365.701048653977,24086.683698772853,32712.247700600783
2023-09-22,28459.647120471433,24341.617814407495,32665.332080651715
2023-09-23,28480.069501543574,24128.649401013732,32672.026765395185
2023-09-24,28557.924997902992,24604.248790818005,32834.7984636544
2023-09-25,28824.120259965555,24542.049520040553,33158.98909823497
2023-09-26,28675.65689832806,24532.213014971327,32811.57327131763
2023-09-27,28725.621859810246,24423.684298475233,32473.09923852102
2023-09-28,28703.945673163125,24568.6347524019,32832.36766734133
2023-09-29,28797.891744979865,24502.969677717087,32975.96215106308
2023-09-30,28818.314126053137,24951.720377883234,33055.22422170746
2023-10-01,28896.169622412384,24988.80317069684,33212.94465004041
2023-10-02,29162.36488447463,25236.632776644496,33103.64178224183
2023-10-03,29105.36640894755,24943.64334158592,33023.77999769695
2023-10-04,29246.796256540627,25361.77845426447,33372.871410579806
2023-10-05,29316.584956004088,24907.267599850504,33237.78921651176
2023-10-06,29501.995913931627,25376.05162268519,33508.06233812803
2023-10-07,29613.883181114867,25493.537381263926,33411.94411753102
2023-10-08,29783.20356358446,25427.566792349746,33909.92744903855
2023-10-09,30140.863711757844,26010.51613679726,34094.553570164455
2023-10-10,30083.86523623076,25965.277480873294,34239.151802658154
2023-10-11,30225.295083823574,25901.324523317147,34212.78755589798
2023-10-12,30295.08378328709,26370.539549767425,34268.230402517795
2023-10-13,30480.494741214945,26402.345484422414,34449.78072064324
2023-10-14,30592.382008397803,26431.557298710955,34775.844013532005
2023-10-15,30761.702390868093,26487.793222042088,34559.082483424754
2023-10-16,31119.362539041165,27233.81187476858,35342.83207223974
2023-10-17,31062.36406351389,27004.0363324933,35323.53926310086
2023-10-18,31203.793911106986,27200.103166525863,35341.89390295346
2023-10-19,31273.582610570684,27137.693274677495,35404.17682811488
2023-10-20,31458.993568498525,27378.678193989814,35238.14640234439
2023-10-21,31570.880835681615,27437.12329341761,35466.352226979805
2023-10-22,31740.201218151073,27375.05867110833,35510.398564427705
2023-10-23,32097.861366324498,28158.498499783043,36164.513714698645
2023-10-24,32057.728901609025,28053.75117163793,36272.32358135594
2023-10-25,32216.024760013144,27994.474457228567,36207.09589357573
2023-10-26,32302.67947028778,28105.63616667881,36483.81523244299
2023-10-27,32504.95643902712,28181.27042998592,36625.83686975782
2023-10-28,32633.70971702137,28714.022345803063,36588.522128632234
2023-10-29,32819.89611030289,28624.038011540117,36871.44939165154
2023-10-30,33194.42226928737,29183.292277586912,37376.71131407376
2023-10-31,33154.289804571694,28911.491508482206,37141.31706736774
2023-11-01,33312.58566297564,29362.439859144677,37158.67364855462
2023-11-02,33399.240373251094,29243.44906146713,37577.534281385364
2023-11-03,33601.5173419898,29385.0051483108,37311.76291219615
2023-11-04,33730.27061998426,29880.279716248384,37733.00954226107
2023-11-05,33916.4570132648,29897.159218530756,37835.70884862056
2023-11-06,34290.98317225009,30282.41859285779,38184.97422799933
2023-11-07,34250.85070753441,29968.53383111008,37867.10198465128
2023-11-08,34409.146565938594,30723.39878963504,38976.17197579293
2023-11-09,34495.80127621346,30149.380342071287,38570.87084992117
2023-11-10,34698.07824495247,30761.493483838283,38866.65367304965
2023-11-11,34826.83152294674,30628.054304684178,39134.673718150916
2023-11-12,35013.017916227975,30912.05682550157,39049.29730319996
2023-11-13,35387.54407521312,31351.24887695485,39772.058271870985
2023-11-14,35347.41160855548,31274.4047113709,39603.1046211793
2023-11-15,35505.70746501819,31539.906329941616,39939.59451139278
2023-11-16,35592.362173351445,31612.011879637612,39764.019457446535
2023-11-17,35794.639140149,31698.260194182345,39869.91911646845
2023-11-18,35923.39241620141,31889.532392784713,40307.598714099804
2023-11-19,36109.57880754124,31872.577220896354,40084.175170694754
2023-11-20,36484.10496458414,32245.5406084365,40524.23262701783
2023-11-21,36443.972497926625,32337.51471268476,40451.87469015989
2023-11-22,36602.268354389365,32534.62794395006,40735.61607782841
2023-11-23,36688.92306272244,32510.682849196215,40626.70558950521
2023-11-24,36891.200029519656,32862.17007287814,41274.07814910684
2023-11-25,37019.95330557275,32966.79256713807,41156.93218671023
2023-11-26,37206.139696912214,33422.85583310496,41432.098169641526
2023-11-27,37580.665853955456,33420.34843799148,41596.04991207834
2023-11-28,37540.53338729774,33641.17367794271,41471.46645091982
2023-11-29,37698.829243760534,33233.09296666953,42068.520989164324
2023-11-30,37785.483952093426,33841.11940747479,42029.70640127764
2023-12-01,37987.76091889142,33825.985549181285,42116.186256522335
2023-12-02,38116.51419494451,33969.09146375657,41990.153060631244
2023-12-03,38302.70058628382,34101.24452968889,42379.41962938562
2023-12-04,38677.2267433266,34551.82684784131,42668.5712020591
2023-12-05,38637.09427649071,34880.1239226701,42817.43340950327
2023-12-06,38795.39013277544,34590.78311916186,42770.850773151506
2023-12-07,38882.04484093051,34717.95857368917,42759.225435222186
2023-12-08,39084.32180754964,34908.960406175516,42916.38617093323
2023-12-09,39213.075083424315,35173.11401104865,43247.54264941755
2023-12-10,39399.26147458577,35200.707227627085,43687.5390372764
2023-12-11,39773.78763145019,35644.031099387976,43838.97902975548
2023-12-12,39733.655164614844,35941.453698276935,43792.022703738425
2023-12-13,39891.95102089904,35761.49482194042,43935.96944856165
2023-12-14,39978.60572905393,35720.2918377099,43666.57750885883
2023-12-15,40180.88269567363,36144.39648168226,44135.16179700158
2023-12-16,40309.63597154811,36373.70972872682,44174.993585681856
2023-12-17,40495.822362708874,36455.77238781307,44441.79659806909
